Joueur;Poste;Cote;Var cote;Cote prédite;Enchère moy;% achat;% achat tour 1;Q2 Toutes tailles;Q3 Toutes tailles;Q2 à 6 joueurs;Q3 à 6 joueurs;Q2 à 8 joueurs;Q3 à 8 joueurs;Q2 à 10 joueurs;Q3 à 10 joueurs;Note;Note série;Note 1 an;Note M11;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;j18;j17;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Tirs;Tirs cadrés;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;Poss Def;Poss Mil;Centres;Centres ratés;Dégagements;But concédé;Ballon perdu;Passe>Tir;Passe perfo;Dépossédé;Plonge&stop;Nb matchs gagnés;Erreur>But;Diff de buts;Grosse occas manquée;Balle non rattrapée;Bonus moy;Malus moy;Index MPGStats;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Lazovic Darko;MO;10;-1;;;4,76;;12;12;12;12;12;12;10;10;4,88;5;5,4;483,58;12;4;31;0,48;0;0,92;1;0;5;0,5;0,5;0,74;690;234;2105;57,5;58,5;67,9;690;421;6;10;5;5;5;5;0;5;4,5;6;4,5;5;5;4;4,5;0;0;0;6;0;6;5;5;4,5;6;5,5;0;0;0;5;5;6;4,5;5,5;7;7;5,5;7;4,5;8;1;;;;;2;8;5;6;0,6832;326;1;6;50;2;;;5;11;20;17;6;10;94;8;8;4;;-7;;-9;1;8;69,71;-74,83;-6,57;0;Verona;Cagliari;sam. 23/12 18:00;42,55319149;0,36148;0,36176;0,3563
Vignato Samuele;MO;5;-3;;;4,76;;5;5;5;5;5;5;5;5;4,83;0;4,92;431,22;9;0;12;1,03;0;0,95;1;0;1;0,33;0;0,25;328;0;377;36,44;0;31,42;328;377;7;5;0;0;0;0;0;5,5;5;5,5;7;4,5;4;4;0;4;4;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;7;5;3;0,8715;177;;4;44,12;4;;;3;6;3;3;;2;40;4;4;6;;2;;4;2;10;60,59;-27,83;0,09;4,5;Monza;Fiorentina;ven. 22/12 20:45;36,36363636;0,46642;0,45825;0,45092
Erlic Martin;DC;12;2;;13;28,57;14,29;14;14;12;12;15;15;12;13;4,81;4,81;4,87;467,88;16;16;34;0,63;0,63;0,62;1;1;1;0,94;0,94;0,91;1377;1377;2839;86,06;86,06;83,5;1377;2839;5,5;12;4,5;5,5;4;4,5;4,5;4,5;5,5;5;5;4,5;6;4,5;3,5;5;5;5,5;0;4;4;4;5;5;5,5;0;6;4,5;0;5,5;4,5;4,5;5,5;4,5;5;6;5;5;5;0;;;;;;;7;5;2;0,8219;871;19;15;63,71;15;;;33;34;3;3;68;24;125;;;;;-4;;-6;1;5;138,56;-153,19;-15,91;0;Sassuolo;Genoa;ven. 22/12 18:30;45,66210046;0,39764;0,40332;0,40058
Lapadula Gianluca;A;10;3;;10;28,57;9,52;10;10;54;78;10;10;10;10;4,8;4,8;4,8;490,2;5;5;5;1,25;1,25;1,25;1;1;1;0,4;0,4;0,4;191;191;191;38,2;38,2;38,2;191;191;7;10;4,5;7;4,5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;6;2;;0,4809;53;1;1;53,33;5;;;;2;2;2;;4;16;3;3;;;-2;;-2;;2;51,32;-21,64;6,02;0;Cagliari;Verona;sam. 23/12 18:00;33,44481605;0,37572;0,35633;0,34769
Kristensen Rasmus;DL;9;1;;11;14,29;4,76;11;11;10;10;11;11;16;16;4,8;4,88;4,61;464;15;13;28;1,19;1,26;1,2;1;1;4;0,53;0,46;0,61;767;657;1676;51,13;50,54;59,86;767;419;6;9;3;4,5;7,5;4,5;5;5;4,5;5;5;5;3;4,5;7;0;4;4,5;4;4,5;6;4,5;2,5;0;4;2;4;6;6;0;0;0;4;0;0;0;0;0;5;4,5;1;;;;1;1;3;3;3;0,6787;595;1;10;51,9;7;;;14;12;27;22;17;13;134;8;8;3;;3;;10;;8;100,3;-135;-16,27;0;Roma;Napoli;sam. 23/12 20:45;34,36426117;0,55312;0,57623;0,55032
Castellanos Valentín;A;9;-1;;13;57,14;9,52;13;14;23;26;13;14;13;14;4,79;4,75;5,06;422,29;14;4;35;0,91;0,29;1,17;1;0;11;0,36;0;0,69;501;70;1998;35,79;17,5;57,09;501;182;6;9;4,5;5;4,5;5;0;4,5;4,5;6,5;7;5;4;0;4;4;4;4,5;4;4,5;4,5;4;0;7;6,5;9;0;6;4;5;6;4,5;6;5;6,5;4;4,5;4;4,5;0;2;;;;2;2;23;12;5;0,7074;243;1;7;47,73;14;;;3;11;2;2;6;5;78;8;8;7;;-1;;-2;2;19;60,77;-30,09;1,43;0;Lazio;Empoli;ven. 22/12 18:30;52,08333333;0,58021;0,57897;0,60061
Cancellieri Matteo;A;11;1;;;61,9;;11;11;11;11;11;11;11;11;4,78;4,78;4,7;422;16;16;23;0,89;0,89;0,78;1;1;1;0,69;0,69;0,48;933;933;986;58,31;58,31;42,87;933;986;6;11;5;4,5;6;3,5;5;5;3;5,5;5,5;5;6,5;4,5;4;4;4,5;5;0;0;0;0;4,5;0;0;0;4;0;0;4,5;4,5;5;0;5;0;0;0;0;0;0;5;;;;1;2;19;6;7;0,6289;450;3;17;44,88;16;;;23;14;29;27;8;14;142;7;7;20;;-7;;-18;2;21;100,63;-76,86;-1,36;0;Empoli;Lazio;ven. 22/12 18:30;24,69135802;0,38651;0,36749;0,35526
Nández Nahitan;MD;10;2;;;14,29;;10;10;10;10;10;10;10;10;4,73;4,83;4,73;426,23;13;3;13;0,6;0,29;0,6;1;0;1;0,85;0,67;0,85;799;133;799;61,46;44,33;61,46;799;799;4;10;5;5;4,5;0;0;0;5;6;4;4;5,5;4;4,5;5;4,5;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;1;;;1;;12;9;13;0,642;429;5;7;36,26;16;;;20;19;50;41;11;17;114;14;14;8;;-6;;-13;3;10;131,28;-146,25;-11,81;0;Cagliari;Verona;sam. 23/12 18:00;33,44481605;0,37572;0,35633;0,34769
Dany Mota;A;10;2;;;;;10;10;10;10;16;19;10;10;4,73;4,75;5,01;407,27;15;8;34;0,62;0,85;0,82;1;1;4;0,47;0,25;0,62;756;327;2073;50,4;40,88;60,97;756;518;6,5;10;4;6,5;4;5;5;4;5;4,5;0;4,5;5;4,5;5;4,5;5;4,5;5;5;5,5;7,5;5;5;5;7;5;0;4,5;5;0;0;4,5;4,5;4,5;4,5;7;5;0;5;4,5;;;;;;20;10;11;0,7652;408;;2;38,64;8;;;10;11;21;17;4;11;108;11;11;13;;-1;;-4;4;18;60,95;-50,71;0,08;6;Monza;Fiorentina;ven. 22/12 20:45;36,36363636;0,46642;0,45825;0,45092
Zappa Gabriele;DL;9;-1;;10;19,05;4,76;10;10;9;9;10;10;9;9;4,72;4,72;4,72;438,31;16;16;16;0,86;0,86;0,86;1;1;1;0,63;0,63;0,63;1087;1087;1087;67,94;67,94;67,94;1087;1087;7;9;4;5;4,5;4,5;4,5;7;5,5;5;4;4;3;5;5;5;4,5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;1;10;5;3;0,7186;729;6;9;44,12;9;;;29;17;33;22;27;21;165;12;12;6;;-6;;-13;2;10;107,92;-142,91;-16,33;0;Cagliari;Verona;sam. 23/12 18:00;33,44481605;0,37572;0,35633;0,34769
