Joueur;Poste;Cote;Var cote;Cote prédite;Enchère moy;% achat;% achat tour 1;Q2 Toutes tailles;Q3 Toutes tailles;Q2 à 6 joueurs;Q3 à 6 joueurs;Q2 à 8 joueurs;Q3 à 8 joueurs;Q2 à 10 joueurs;Q3 à 10 joueurs;Note;Note série;Note 1 an;Note M11;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;j18;j17;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Tirs;Tirs cadrés;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;Poss Def;Poss Mil;Centres;Centres ratés;Dégagements;But concédé;Ballon perdu;Passe>Tir;Passe perfo;Dépossédé;Plonge&stop;Nb matchs gagnés;Erreur>But;Diff de buts;Grosse occas manquée;Balle non rattrapée;Bonus moy;Malus moy;Index MPGStats;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Martínez Lautaro;A;45;2;;119;85,71;85,71;114;141;93;110;128;151;103;106;6,5;6,5;5,96;542,19;16;16;39;1,24;1,24;1,38;15;15;29;0,94;0,94;0,72;1344;1344;2701;84;84;69,26;90;93;6;3;7;7;6;6,5;5,5;6,5;5,5;6;6;9;4;5;7;8;7;8;4,5;8;4,5;6,5;6;8;7;6;4,5;5;4;4,5;4;6,5;3,5;6;5,5;7;7,5;4;6;6;10;1;;2;2;2;53;35;11;0,7936;666;15;10;44,65;20;;;9;21;8;7;6;6;169;13;13;25;;12;;32;5;32;228,55;-59,04;26,43;6,5;Inter;Lecce;sam. 23/12 18:00;83,33333333;0,8056;0,8074;0,80436
Berardi Domenico;A;28;5;;61;90,48;90,48;54;68;45;56;61;82;44;50;6,27;8;6,09;592,31;13;1;32;1,3;0;1,13;9;2;20;1;1;0,97;1156;90;2645;88,92;90;82,66;128;132;5;3,11;8;0;5,5;8;5,5;5;5;5;6;5;7,5;7,5;5,5;8;0;0;5,5;7;6,5;7;6,5;5;7,5;0;0;5;6;6;7;0;5;0;4,5;6;8;5,5;4,5;6;;5;;2;3;4;43;33;13;0,6918;730;9;6;38,69;22;;;15;23;45;37;8;21;212;24;24;21;;-1;;-1;2;24;277,85;-132,45;16,78;0;Sassuolo;Genoa;ven. 22/12 18:30;45,66210046;0,39764;0,40332;0,40058
Giroud Olivier;A;27;1;;55;90,48;80,95;51;68;38;45;60;72;56;58;5,73;6;5,39;460,62;13;2;33;1,18;0;1,08;8;1;16;0,92;1;0,85;945;180;2325;72,69;90;70,45;118;145;5;3,38;6;6;0;0;6;3,5;8;5;4,5;5;0;5,5;5;6;7;7;6;6,5;8;4,5;6;4,5;4,5;0;0;4,5;5;0;6;4,5;5;4,5;6;4;5;4;5;5;6;3;;;4;6;27;19;5;0,6512;313;3;5;44,83;14;;;1;4;;;7;11;100;18;18;5;;3;;6;1;24;152,5;-54,38;17,82;5,5;Milan;Salernitana;ven. 22/12 20:45;72,46376812;0,69264;0,70327;0,68436
Çalhanoglu Hakan;MO;27;2;;57;85,71;85,71;58;65;52;54;62;72;60;60;6,56;6,56;6,09;509;16;16;35;1,15;1,15;1,05;7;7;8;1;1;0,89;1316;1316;2612;82,25;82,25;74,63;188;327;6,5;3,86;5,5;7,5;7;5;7,5;8;5,5;7;6,5;4,5;5;7;6,5;8;8;6,5;5,5;5,5;0;0;6;8;5;6;5;0;0;4,5;5,5;6;5;5,5;6;6,5;6;5;6;5;10;6;;1;2;2;32;20;3;0,9102;1284;9;20;55,12;28;;;37;46;23;16;11;6;130;25;25;3;;12;;32;;13;279,63;-97,03;-3,3;6;Inter;Lecce;sam. 23/12 18:00;83,33333333;0,8056;0,8074;0,80436
Thuram Marcus;A;25;5;;64;95,24;95,24;64;80;43;60;68;83;66;71;6,19;6,19;6,19;534,69;16;16;16;1,09;1,09;1,09;7;7;7;1;1;1;1221;1221;1221;76,31;76,31;76,31;174;174;6,5;3,57;7;6,5;7;6;6;4,5;7;7;5;7;4;5;7;8;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;;;6;2;44;29;12;0,7422;509;3;6;56,38;14;;;6;15;6;4;7;6;143;12;12;16;;12;;32;6;43;170,94;-44,81;11,34;0;Inter;Lecce;sam. 23/12 18:00;83,33333333;0,8056;0,8074;0,80436
Zirkzee Joshua;A;19;4;;33;90,48;80,95;32;38;28;34;32;38;26;35;5,63;5,63;5,22;478,5;16;16;29;0,92;0,92;0,9;7;7;8;0,94;0,94;0,62;1326;1326;1899;82,88;82,88;65,48;189;237;5,5;2,71;5,5;8;4,5;6,5;5,5;6;6;5,5;6;5;5;5;4,5;6,5;6;4,5;6;4,5;0;4,5;0;4,5;5;3,5;4,5;5;0;0;4,5;4,5;0;0;0;5;5,5;4,5;0;0;6,5;1;;1;2;7;35;26;6;0,749;693;3;9;36,97;13;;;14;22;1;1;23;9;229;22;22;33;;5;;8;1;55;140,46;-57,24;10,81;5;Bologna;Atalanta;sam. 23/12 15:00;37,31343284;0,55454;0,58755;0,5726
Lukaku Romelu;A;23;0;;80;85,71;76,19;83;89;74;74;86;93;65;70;5,5;0;5,46;536,92;13;0;34;1,4;0;1,28;7;0;16;0,92;0;0,82;1089;0;2504;83,77;0;73,65;156;157;4,5;3,29;0;6;5;6;4,5;6;4;5;8;6,5;3;6,5;7;4;0;0;5,5;7;6;7,5;7;0;7,5;8;4,5;5;4,5;4,5;4,5;4,5;4,5;5,5;5;5;4,5;4,5;0;4;4,5;;;;1;2;28;20;6;0,7104;371;;1;37,08;12;;;7;15;8;6;7;10;114;9;9;12;;4;;12;3;21;125,15;-48,31;13,59;0;Roma;Napoli;sam. 23/12 20:45;34,36426117;0,55312;0,57623;0,55032
Osimhen Victor;A;35;-1;;74;95,24;66,67;61;89;91;118;59;70;80;86;5,38;5;5,8;442,42;12;4;33;1,63;1,83;1,45;7;1;24;0,83;0,75;0,91;910;288;2589;75,83;72;78,45;130;108;5;5;7;4;3;6;0;0;0;0;6;6;6;2,5;5;4,5;6,5;8;7;7,5;5,5;5;5;6,5;5;5;4;0;0;8;5;4,5;6,5;6;6,5;8;6;7;8,5;6,5;3,5;2;;;2;3;42;25;12;0,7342;289;1;2;41,75;13;;;2;9;9;9;8;11;99;8;8;13;;2;;6;5;34;152,91;-82,84;15,37;6;Napoli;Roma;sam. 23/12 20:45;40,16064257;0,70781;0,6883;0,69322
Bonaventura Giacomo;MO;23;2;;40;100;100;41;44;30;31;42;45;46;52;6,2;0;5,77;488,4;15;0;33;1,16;0;1,02;6;0;8;0,93;0;0,73;1159;0;2138;77,27;0;64,79;193;267;5,5;3,83;0;6;8;5,5;7;5,5;5;5,5;7;6;5,5;8;6,5;4,5;5;8;5;0;0;5,5;5,5;6;0;0;4,5;5;7;5;0;6,5;5;5;4,5;6;6;5;4,5;6,5;6,5;;;1;2;2;28;21;11;0,8433;777;4;5;46,81;7;;;15;38;26;17;3;11;136;25;25;18;;2;;6;;22;200,23;-68,53;3,25;5;Fiorentina;Monza;ven. 22/12 20:45;39,5256917;0,57988;0,55619;0,58292
Soulé Matías;A;15;0;;36;90,48;85,71;35;40;31;38;38;40;35;44;6,07;6,07;5,8;579,93;14;14;22;1,04;1,04;0,98;6;6;7;1;1;0,77;1217;1217;1515;86,93;86,93;68,86;203;216;7;2,5;4;5,5;5;7;5,5;6;7;7;7;6;7,5;5;7;5,5;0;0;0;0;0;0;0;0;5;5,5;0;0;0;5;7;0;0;0;0;0;5;0;5;5;2;1;;1;1;5;33;19;12;0,8173;1000;8;15;46,05;10;;;25;39;20;14;4;20;273;39;39;40;;-2;;-4;5;42;250,31;-132,06;7,8;0;Frosinone;Juventus;sam. 23/12 12:30;18,69158879;0,35356;0,34762;0,3572
González Nicolás;A;19;-3;;50;90,48;85,71;54;60;58;64;55;62;42;49;5,92;0;5,66;465,62;13;0;31;1,08;0;1;6;0;11;0,85;0;0,71;920;0;2087;70,77;0;67,32;153;190;5;3,17;0;5;0;5,5;7;6;5,5;5;6;7;7;0;5,5;3,5;7;7;6,5;0;0;5;4;6,5;6;0;6,5;4,5;0;5,5;4;6;7;5;4,5;6;6,5;5;5;5;4;1;;;1;1;43;26;14;0,7195;604;4;9;51,9;11;;;11;21;13;12;2;11;162;11;11;14;;;;1;2;26;207,95;-95,49;11,01;0;Fiorentina;Monza;ven. 22/12 20:45;39,5256917;0,57988;0,55619;0,58292
Gudmundsson Albert;A;16;0;;32;90,48;61,9;31;36;30;33;33;37;31;37;5,75;6,5;5,75;466,93;14;2;14;1,14;0,71;1,14;6;1;6;1;1;1;1255;180;1255;89,64;90;89,64;209;209;6;2,67;7;6;0;0;5;6;6,5;4,5;5;8;7;5;5;5;6,5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;2;;3;23;15;10;0,7916;697;10;5;51,2;11;;;23;25;37;25;2;16;185;34;34;22;;-3;;-4;2;42;162,79;-70,35;11,05;0;Genoa;Sassuolo;ven. 22/12 18:30;31,25;0,35721;0,363;0,36619
Colpani Andrea;MD;17;-2;;33;90,48;90,48;33;36;33;33;36;37;35;38;5,5;5,5;5,38;462,94;16;16;33;1,22;1,22;0,98;6;6;8;1;1;0,7;1196;1196;1801;74,75;74,75;54,58;199;225;6;2,83;4,5;5,5;5;5;7;5,5;6;5;7;5;4,5;5,5;7;3,5;8;4;6;5,5;0;0;0;5,5;5,5;5,5;6;7;5,5;4,5;5;5;5;0;0;5;0;4,5;4;5;8;;;2;1;3;31;22;8;0,836;654;4;4;39,29;14;;;12;13;22;17;6;10;165;25;25;18;;;;-1;2;20;156,14;-77,35;-7,36;5,25;Monza;Fiorentina;ven. 22/12 20:45;36,36363636;0,46642;0,45825;0,45092
Lookman Ademola;A;27;4;;38;90,48;33,33;37;40;42;42;38;44;28;28;5,47;5,47;5,48;491;16;16;32;1,13;1,13;1,23;6;6;12;0,81;0,81;0,72;956;956;1827;59,75;59,75;57,09;159;152;6;4,5;6;8;4,5;6;4,5;6,5;6;6;4,5;4,5;4,5;7;6;5;4;4,5;6;4,5;5;0;0;0;0;0;0;5;6;5;4,5;5,5;4;4;7;4,5;7;8;8;0;4,5;;;;3;3;34;25;10;0,7998;572;3;3;36,36;17;;;8;21;17;14;;12;156;19;19;17;;2;;9;5;36;133,63;-58,39;8,49;5;Atalanta;Bologna;sam. 23/12 15:00;36,900369;0,56421;0,5749;0,59342
Pulisic Christian;A;21;3;;47;90,48;61,9;44;71;45;62;39;73;44;44;6,07;6,13;5,52;483,5;14;4;25;1,04;0,63;1,02;5;1;5;0,93;1;0,72;979;319;1377;69,93;79,75;55,08;196;275;7;4,2;6;6;7;5,5;0;0;6;4,5;7;7;6,5;5;4;6;7,5;7;5;5;0;0;0;0;5;5;4;5;4,5;4,5;0;0;0;0;0;0;0;5;5;5;7;;;1;4;2;20;16;8;0,8342;549;5;9;50;10;;;11;25;24;16;1;7;125;17;17;15;;7;;12;;23;158,25;-46,61;8,32;0;Milan;Salernitana;ven. 22/12 20:45;72,46376812;0,69264;0,70327;0,68436
Kvaratskhelia Khvicha;MO;31;2;;49;95,24;85,71;50;58;46;56;50;58;64;68;5,77;5,77;5,74;520,4;15;15;37;1,18;1,18;1,23;5;5;11;0,87;0,87;0,86;1119;1119;2782;74,6;74,6;75,19;224;253;6;6,2;6;5;5;6,5;5;6;5,5;8;4;5,5;8,5;5,5;5;5;6;0;6;4,5;6,5;4;6;6;5;5,5;4,5;5;4,5;7;7,5;4,5;6;7;6;7;6;0;9;5;1,5;;;;3;5;52;35;16;0,8444;777;11;8;52,53;7;;;15;29;21;18;5;18;172;25;25;21;;2;;7;8;20;174,14;-74,87;2,51;6;Napoli;Roma;sam. 23/12 20:45;40,16064257;0,70781;0,6883;0,69322
Politano Matteo;MO;15;-2;;35;90,48;90,48;34;38;48;52;34;37;31;38;5,72;5,72;5,31;477,88;16;16;29;1,06;1,06;1,02;5;5;5;0,81;0,81;0,69;1041;1041;1601;65,06;65,06;55,21;208;320;5,5;3;6;5;4,5;4,5;5;6;6,5;8;5;5,5;6,5;4,5;6,5;4,5;6,5;7;0;0;5;5;0;0;0;0;5;4,5;4;0;7;4,5;0;4,5;0;4,5;0;4,5;4,5;5;4,5;1;;;3;6;34;20;22;0,8049;726;9;6;47,12;9;;;21;19;37;23;2;12;156;39;39;9;;3;;9;1;19;152,69;-58,16;2,93;0;Napoli;Roma;sam. 23/12 20:45;40,16064257;0,70781;0,6883;0,69322
Chiesa Federico;A;15;2;;36;85,71;76,19;34;44;16;16;39;46;35;42;5,7;5,5;5,35;459,2;15;8;34;1,11;0,89;1,07;5;1;7;0,87;0,75;0,56;1105;518;1905;73,67;64,75;56,03;221;272;6,5;3;7;6;5;6;6;5;4,5;4,5;0;5;4;7;7;7;4,5;7;7;4;6,5;6;5;4,5;5;4;4,5;5;0;4,5;0;5;6;0;6;5;0;4,5;3;6;6,5;1;;1;1;1;36;24;18;0,7505;516;5;3;53,19;4;;;15;15;30;18;4;9;148;22;22;12;;9;;12;6;24;139,25;-50,35;9,24;0;Juventus;Frosinone;sam. 23/12 12:30;61,72839506;0,70175;0,69746;0,69717
Scamacca Gianluca;A;12;-6;;40;90,48;57,14;42;52;42;47;40;54;42;43;5,25;0;5,23;440,7;10;0;13;1,62;0;1,48;5;0;6;0,5;0;0,54;508;0;680;50,8;0;52,31;102;113;6;2,4;0;0;0;4,5;4;6;8;5,5;3,5;0;0;0;4;8;4,5;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;6,5;4,5;0;3;;;1;1;1;26;14;4;0,6499;262;1;4;40;8;;;;8;2;2;2;4;95;5;5;18;;-1;;5;3;22;124,2;-49,76;12,47;0;Atalanta;Bologna;sam. 23/12 15:00;36,900369;0,56421;0,5749;0,59342
Zapata Duván;A;17;4;;25;90,48;61,9;22;26;17;17;20;28;24;25;5,2;5,43;4,97;455,2;15;7;31;1,16;1,24;0,97;5;3;6;0,93;0,86;0,77;1140;545;2021;76;77,86;65,19;228;337;6;3,4;6;5,5;7,5;4;6;5;4;0;4;3,5;4;6,5;5,5;4,5;6;6;0;0;0;3;4,5;4,5;6;6;4;5;5;5;4,5;0;0;0;4,5;4,5;5;0;5,5;4,5;5;;;;1;1;37;21;18;0,7048;574;2;1;45,02;18;;;6;22;23;19;6;9;206;11;11;26;;3;;5;2;51;130,16;-70,53;6,89;0;Torino;Udinese;sam. 23/12 15:00;57,14285714;0,5094;0,51369;0,50751
Vlahovic Dusan;A;17;0;;32;90,48;52,38;30;38;45;45;30;32;22;22;5,14;4,81;5;424;14;8;31;1,18;0,8;1,06;5;1;9;0,71;0,63;0,71;867;449;1943;61,93;56,13;62,68;173;216;6;3,4;4;5;4;6,5;5;4,5;5;4,5;0;0;4,5;4;8;4,5;6;6,5;0;0;4;4,5;6,5;6;4,5;4,5;5;4;4;4,5;5,5;4,5;4,5;5;4,5;7,5;4;0;0;0;5;1;;1;1;;38;25;5;0,717;312;;2;42,47;7;;;3;7;1;1;6;7;95;8;8;9;;9;;12;7;31;99,64;-45,61;10,09;0;Juventus;Frosinone;sam. 23/12 12:30;61,72839506;0,70175;0,69746;0,69717
Pinamonti Andrea;A;12;1;;26;85,71;71,43;22;31;30;41;21;24;34;38;5,13;5,13;4,86;455,56;16;16;33;1,2;1,2;1,16;5;5;7;1;1;0,82;1268;1268;2279;79,25;79,25;69,06;254;326;6;2,4;6;5;4;6;4;4;5;4,5;4;4,5;5;7;7,5;7;4;4,5;4;5;4,5;4,5;0;0;2;4;4,5;4,5;6;4;7,5;5;4;4,5;4,5;0;0;0;0;5;2,5;;;1;;2;38;25;12;0,7223;414;;4;35,21;7;;;4;14;8;7;13;19;123;5;5;18;;-4;;-6;;32;96,31;-44,61;8,29;0;Sassuolo;Genoa;ven. 22/12 18:30;45,66210046;0,39764;0,40332;0,40058
Lucca Lorenzo;A;17;5;;17;76,19;9,52;17;17;17;17;17;17;17;17;4,84;4,84;4,84;433,94;16;16;16;1,22;1,22;1,22;5;5;5;0,56;0,56;0,56;901;901;901;56,31;56,31;56,31;180;180;6;3,4;6;3,5;7,5;4;4,5;4,5;6,5;4;4;6;3;4,5;4,5;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;;;;1;;20;12;4;0,6171;310;2;2;47,2;17;;;4;12;5;5;11;16;116;11;11;13;;-4;;-13;6;34;78,65;-44,24;8,26;0;Udinese;Torino;sam. 23/12 15:00;20,92050209;0,38961;0,37679;0,3837
Dybala Paulo;A;21;4;;43;90,48;42,86;41;48;21;21;42;57;44;46;5,73;0;5,91;549,36;11;0;27;1,4;0;1,39;4;0;11;1;0;0,89;808;0;1957;73,45;0;72,48;202;178;6;5,25;0;6;7;7,5;4,5;6;0;0;5;7;3,5;4,5;7,5;0;4,5;0;6;0;0;0;5;0;0;4,5;0;6,5;8;5;7;5;4;0;7;7,5;4,5;8;8;4,5;2,5;2;;;6;4;25;16;10;0,8362;606;2;7;49,09;5;;;8;22;17;14;2;10;156;22;22;17;;4;;12;3;37;190,25;-100,57;6,55;4,5;Roma;Napoli;sam. 23/12 20:45;34,36426117;0,55312;0,57623;0,55032
Éderson;MO;16;-3;;31;95,24;95,24;30;36;32;39;31;34;30;34;5,59;5,59;5,41;468,31;16;16;38;0,93;0,93;0,97;4;4;5;0,94;0,94;0,84;1341;1341;2821;83,81;83,81;74,24;335;564;6;4;5;5,5;4;5;6;5;5;7;6;5,5;6;5;5,5;8;6;5;5;4,5;5,5;4,5;4,5;5;5,5;5,5;6;4,5;7,5;6;4,5;6;5;4;7;5;0;4;7;5,5;4,5;;;;1;2;20;9;3;0,8239;1027;21;27;57,82;21;;;39;51;9;5;13;17;171;9;9;18;;2;;9;1;19;215,69;-132,37;-9,94;5;Atalanta;Bologna;sam. 23/12 15:00;36,900369;0,56421;0,5749;0,59342
Orsolini Riccardo;MO;18;-3;;29;95,24;61,9;25;31;25;35;27;32;25;25;5,46;0;5,66;451,25;12;0;32;1,36;0;1,29;4;0;13;0,67;0;0,75;723;0;2226;60,25;0;69,56;181;171;6;4,5;0;0;0;0;6;6;6;5,5;7;8,5;5;4;4,5;4;5;4;5,5;0;8;5,5;5;6;6;3,5;0;6;5;4,5;0;5;7;7;5,5;7,5;8;5,5;4;6,5;4;1;;;;2;20;12;8;0,7253;412;4;3;51,49;6;;;16;13;22;18;8;4;118;12;12;6;;2;;3;4;20;161,6;-73,77;2,03;6,25;Bologna;Atalanta;sam. 23/12 15:00;37,31343284;0,55454;0,58755;0,5726
Ngonge Cyril;A;13;3;;15;85,71;23,81;13;19;19;19;13;16;13;13;5,37;5,75;5,12;460,13;15;6;29;0,93;1,13;1,07;4;2;7;0,87;0,67;0,76;1093;430;1840;72,87;71,67;63,45;273;263;6;3,25;4,5;5,5;7;7;4,5;6;0;4,5;4,5;5;4,5;5;4,5;6;6,5;5,5;3,5;6;4;4;6;0;0;0;4;6;4;0;0;4,5;3;5;6;7;5;0;0;0;2;;;1;2;2;33;23;11;0,6861;455;3;8;39,88;24;;;7;20;28;18;2;18;157;17;17;12;;-6;;-9;5;37;147,91;-91;4,37;0;Verona;Cagliari;sam. 23/12 18:00;42,55319149;0,36148;0,36176;0,3563
Pavoletti Leonardo;A;13;3;;;28,57;;18;34;18;34;13;13;13;13;5;5,2;5;433;11;5;11;1,3;1,04;1,3;4;2;4;0,27;0,2;0,27;334;138;334;30,36;27,6;30,36;84;84;6;3,25;6;6,5;5;4;4,5;0;8;0;4,5;4;0;0;4;0;4;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;15;7;4;0,4212;132;;1;55;12;;;2;3;1;1;4;6;58;4;4;2;;-4;;-9;1;13;75,55;-24,35;10,66;0;Cagliari;Verona;sam. 23/12 18:00;33,44481605;0,37572;0,35633;0,34769
Immobile Ciro;A;23;0;;56;85,71;57,14;52;67;40;40;52;64;120;120;4,83;4,81;4,97;414,8;15;8;35;0,79;0,7;0,99;4;2;10;0,73;0,63;0,8;962;445;2372;64,13;55,63;67,77;241;237;5,5;5,75;4;5;5;6;4,5;4,5;5,5;4;0;4;5;5,5;5;4;4;6,5;7;6;6,5;6,5;4;5;4;4;5,5;5;4,5;0;0;4,5;4;7,5;4;4,5;4;0;4,5;4,5;2,5;3;;;;2;19;11;4;0,7629;412;3;5;41,67;10;;;3;8;3;2;5;13;117;10;10;11;;-2;;-3;4;30;78,59;-49,61;6,73;5,75;Lazio;Empoli;ven. 22/12 18:30;52,08333333;0,58021;0,57897;0,60061
Krstovic Nikola;A;9;-1;;20;85,71;33,33;18;24;35;35;18;20;15;15;4,77;4,77;4,77;450,33;15;15;15;1,02;1,02;1,02;4;4;4;0,8;0,8;0,8;960;960;960;64;64;64;240;240;6;2,25;4;4;5;4;4;4;4;4,5;6;4;4;5;6;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;;;;1;32;18;4;0,6818;383;1;2;44,93;20;;;12;11;1;;10;10;136;13;13;14;;-1;;-3;2;49;88,55;-51,82;6,79;0;Lecce;Inter;sam. 23/12 18:00;7,843137255;0,35205;0,36591;0,38957
Dia Boulaye;A;17;-4;;34;85,71;33,33;32;38;40;51;34;38;32;32;4,67;4,17;5,21;402,25;12;3;31;1,29;0,29;1,37;4;0;14;0,75;0,67;0,84;896;221;2462;74,67;73,67;79,42;224;176;6;4,25;4;4,5;4;0;6,5;5,5;3,5;7;3,5;3;4,5;0;0;0;6;4;0;0;6,5;5;4;8;6,5;7,5;5;5;5,5;7;6;4,5;0;0;3,5;3,5;7,5;4,5;6;5;;1;;;;;25;20;4;0,8605;366;3;2;31,93;11;;;14;14;1;1;6;19;111;7;7;23;;-8;;-18;2;27;97,8;-71,32;8,28;5,5;Salernitana;Milan;ven. 22/12 20:45;13,24503311;0,31064;0,31557;0,3061
Dimarco Federico;DL;26;2;;30;85,71;76,19;28;34;26;30;26;29;33;36;6,27;6,06;5,97;511,73;15;9;33;1,27;1,26;1,02;3;2;4;1;1;0,85;1069;647;2105;71,27;71,89;63,79;356;526;7;8,67;6,5;7,5;6;4,5;8;5;7;5;5;0;4;7;7;7,5;7,5;6,5;0;6,5;5,5;6;7;6;6,5;5;0;5;0;5;5,5;0;0;6,5;5,5;5,5;5,5;5;5;5;9;;;2;4;8;22;12;20;0,865;845;6;16;54,93;6;;;24;22;85;63;13;6;115;32;32;4;;11;1;28;2;14;259,5;-121,7;-6,19;0;Inter;Lecce;sam. 23/12 18:00;83,33333333;0,8056;0,8074;0,80436
Ferguson Lewis;MD;26;3;;35;90,48;66,67;35;40;32;36;35;40;35;36;6,13;6,13;5,77;470,44;16;16;39;0,76;0,76;0,79;3;3;7;1;1;0,95;1435;1435;3247;89,69;89,69;83,26;478;464;6;8,67;7;5,5;6,5;6;5,5;7;5,5;7;7;7;5,5;5,5;5,5;5;7;5,5;6;7;7;5,5;5,5;4,5;5;5,5;5,5;5,5;5;6;5,5;5;5,5;5,5;4;5;6,5;5,5;6,5;5;7,5;;;;2;;32;21;3;0,8707;1072;9;13;53,13;27;;;33;42;5;3;14;9;143;14;14;10;;5;;8;3;13;181,5;-68,03;-1,85;5,25;Bologna;Atalanta;sam. 23/12 15:00;37,31343284;0,55454;0,58755;0,5726
Rafael Leão;A;26;-3;;63;90,48;57,14;58;87;83;100;50;87;62;62;5,88;6,5;5,84;473,92;13;1;34;1,04;0;1,34;3;0;12;0,85;1;0,79;897;67;2318;69;67;68,18;299;193;5,5;8,67;6,5;0;0;0;5;6;5;6;5;7,5;4;6;5,5;7;7,5;5,5;8;5;8;0;5;4;7;7;4,5;4,5;8;6;5;0;8;6;4,5;4,5;4;3,5;6;6;6;;;;4;6;22;16;16;0,7304;496;3;5;52,5;8;;;4;15;40;30;3;8;129;21;21;16;;5;;9;2;27;177,78;-69,39;5,35;6,25;Milan;Salernitana;ven. 22/12 20:45;72,46376812;0,69264;0,70327;0,68436
Luis Alberto;MO;18;-2;;31;85,71;76,19;30;33;30;30;30;32;35;37;5,87;5,17;5,89;457,93;15;3;37;0,88;0,58;1;3;0;6;0,93;0,67;0,97;1183;171;3085;78,87;57;83,38;394;514;7;6;4,5;5,5;5,5;0;6;5,5;6;8;5,5;5,5;6;5;7;7;5,5;5,5;8;5;7;6;5,5;5,5;5;5,5;6;7;6;6,5;5;5,5;7,5;5;4,5;4,5;5;8,5;5,5;6;3,5;;;1;1;3;26;15;10;0,8276;1065;3;13;42,34;10;;;29;43;24;22;5;14;222;29;29;14;;;;-1;1;16;190,07;-97,27;-2,33;7;Lazio;Empoli;ven. 22/12 18:30;52,08333333;0,58021;0,57897;0,60061
Candreva Antonio;MO;17;0;;20;85,71;33,33;17;20;20;20;17;21;17;17;5,5;5,44;5,7;450,07;15;9;35;1,16;1,13;1,19;3;1;8;0,93;0,89;0,94;1151;656;2718;76,73;72,89;77,66;384;340;7;5,67;5,5;6;4,5;8;5;5,5;5;5,5;4;0;4,5;6;4;5;6,5;7,5;5,5;8;7;7;0;0;5;7;5,5;7;5;6,5;5,5;6;8;5;5;5;5;5,5;3;5,5;2;;;1;3;1;28;21;20;0,8062;678;5;5;50,88;2;;;21;18;66;54;9;21;131;27;27;7;;-8;;-18;2;13;173,97;-109,63;-0,13;5,5;Salernitana;Milan;ven. 22/12 20:45;13,24503311;0,31064;0,31557;0,3061
Koopmeiners Teun;MD;19;-3;;31;90,48;47,62;30;32;32;32;32;34;29;30;5,5;5,07;5,62;464,4;15;7;33;1,09;1,17;1,18;3;1;9;0,93;1;0,97;1247;591;2812;83,13;84,43;85,21;416;312;6;6,33;5,5;6;4;5;4;4;7;0;5,5;4,5;7;5;6;6,5;5,5;7;9;5;5;4;5,5;6;6;6,5;5,5;0;0;0;0;4,5;4,5;3,5;6,5;5,5;6;0;7;6;5,5;;;1;3;2;25;18;14;0,8059;903;5;11;34,46;26;;;17;47;34;23;15;14;200;33;33;22;;1;;7;2;25;186,02;-114,77;-9,75;6;Atalanta;Bologna;sam. 23/12 15:00;36,900369;0,56421;0,5749;0,59342
Gatti Federico;DC;14;3;;14;85,71;71,43;14;16;16;16;14;14;16;16;5,46;5,46;5,23;557,86;14;14;28;1,38;1,38;1,21;3;3;3;0,93;0,93;0,89;1176;1176;2262;84;84;80,79;392;754;7;4,67;4,5;7;7;4,5;5,5;6;5,5;4,5;7;5,5;5;2;5,5;7;0;0;6;4;3;6;0;5;5,5;5;5;3,5;6;6;5;0;0;0;0;0;4;0;0;0;6,5;;;;;2;13;3;2;0,8428;727;11;10;56,04;16;;;21;25;7;5;46;9;104;3;3;5;;9;;11;2;11;166,43;-117,71;-9,39;0;Juventus;Frosinone;sam. 23/12 12:30;61,72839506;0,70175;0,69746;0,69717
